4247cbb9 AIGenericCommon
1c73bda5 CharacterQuestObjective
8a40e45d CharacterQuestReward
23ea1915 CharacterRecord
92ceab22 CharacterRecordInstance
b2cc5617 CharacterStealthData
ec3d693a CharacterToolData
d84541a5 CharacterToolDataInstance
4723f716 CharacterVars
44d5c86a CharacterVarsTable
f647f655 CharacterVarsTableInstance
e538ceca ChatChannelSelectionComboBoxDefinition
78387eb5 ChatOnlyAnnouncementDefinition_Deprecated
13866e1b ChatThrottlerData
9af29f08 ChatThrottlerDataInstance
79888d5e ChatViewController
84d4571e ChatViewData
946adb4c Cheat
61369df7 CheatInstance
141c2ec1 CheatMenuUIData
df40db9e CheatMenuUIDataInstance
999c92e7 CheatPage
36c211b4 CheatPageInstance
4577ec44 CheatSet
7f872c1f CheatSetInstance
1495c79f CherryArenaData
e1f5a982 CherryAugmentSelectionViewController
0ed7b9fb CherryCameo
bba8c3c3 CherryCameoList
c65006fb CherryCombatInfoDisplayTeam
82c8b59f CherryCombatInfoDisplayViewController
9a79c35f CherryConfigs
274447fc CherryEliminationViewController
fbbb1174 CherryRoundsViewController
359b5c4f CherryScoreboardViewController
6634ed37 CherrySpectateMatchDialogText
ea5177f5 CherrySpectateMatchDialogViewController
ae468ed4 CherryTeamFlyoutPanelFightTeamFrame
ea6e0122 CherryTeamFlyoutPanelTeamFrame
0a29c557 CherryTeamFlyoutPanelTeamTemplate
a45f49e4 CherryTeamFlyoutPanelTeamTemplateChampion
83b90edd CherryTeamFlyoutPanelViewController
7c5af3ac CherryUiPlayerPortraitData
e21083b5 ChildMapVisibilityController
374bca72 ChildMissileParentRepulsion
64a056ca ChildMissileRepulsion
911cbd12 ChildMissileSiblingRepulsion
8085e5d1 CinematicBarsViewController
039b5ebc CircleMovement
a66643e7 CircleMovementInstance
4a9d1e4f CircleMovementSpec
803dae4c ClampSubPartsCalculationPart
744d14ad ClashLogo
86e5b2a2 ClearAlreadyHitTracking
26b675d9 ClearAlreadyHitTrackingOnMovementComplete
2654c326 ClearAlreadyHitTrackingOnMovementCompleteInstance
d9be2e1a ClearAlreadyHitTrackingOnMovementCompleteSpec
fa49cfed ClearBit
3ba29588 ClearSkillsSumsCooldownCheat
e51cda17 ClearTargetAndKeepMoving
44443cab ClearTargetAndKeepMovingOnMovementCompleteSpec
7e2a6d18 ClearTargetAndKeepMovingOnMovementCompleteSpecInstance
50c7b105 ClearTargetCooldownCheat
563f29d2 ClearTargetCooldownCheatInstance
b440906e ClientStateAudioDataProperties
9d8b0a27 ClientStateCommonSettings
d30bb41b ClipAccessoryData
e985e7c6 ClipBaseData
13cd3b61 ClipBaseDataInstance
2b58b8dd CoinsPromoDialogViewController
e2fd6db7 CollectiblesEsportsTeamData
4aff6f5a ColorChooserMaterialDriver
4f535fc5 ColorChooserMaterialDriverInstance
0e0c996f ColorGraphMaterialDriver
fb1dfaec ColorGraphMaterialDriverInstance
05e4ae90 ColorLiteralMaterialDriver
b11599f5 ColorLogicDriverLightUpdater
0971f3ea CombatTextOverride
40085ddb CommentBlock
a2ed9c8a CommonUiTunables
995f3c95 Companion
7cc20e55 CompanionData
f32431bf CompanionLoadoutGridButtonData
8e3b8299 CompanionSpeciesData
312c3fe8 ComparisonScriptCondition
19829c93 ComparisonScriptConditionInstance
bb5d4a05 ConcatenateStringsBlock
904ee2d2 ConcatenateStringsBlockInstance
1560dccc ConditionBoolClipData
5cfb4f77 ConditionBoolClipDataInstance
8ebbe9e2 ConditionFloatClipData
34016c1d ConditionFloatClipDataInstance
63e48060 ConditionFloatPairData
813ff89b ConditionFloatPairDataInstance
dd404b6a Cone
6d1d5373 ConfigBool
edb4ab83 ConfigFloat
4bf5d9a8 ConfigInt
18f1fc92 ConfigString
82377a1d ConformToPathEventData
4f0fac5a ConformToPathEventDataInstance
ce0b9a93 ConformToPathRigPoseModifierData
d6df7e90 ConformToPathRigPoseModifierDataInstance
57e882f6 ConstantWaveBehavior
15f6e07a ContextualActionCooldownModifications
cf313c24 ContextualActionData
58cebaff ContextualActionDataInstance
b8809804 ContextualActionPlayAnimation
84af67df ContextualActionPlayAnimationInstance
6376b900 ContextualActionPlayAudio
f9c13a3b ContextualActionPlayAudioInstance
2980c70d ContextualActionPlayVO
0b83a08a ContextualActionPlayVOInstance
1dce7928 ContextualActionTriggerEvent
ce42dad3 ContextualActionTriggerEventInstance
ece05abc ContextualConditionAmountHealed
2ed5772b ContextualConditionAnyOtherHero
4a187798 ContextualConditionAnyOtherHeroInstance
ebddd91a ContextualConditionBuffCounterChanged
b8d75e45 ContextualConditionBuffCounterReachedLimitFromZero
0418b95a ContextualConditionBuffCounterSetToZeroAfterLimitReached
5a6ce695 ContextualConditionCastTarget
2db74660 ContextualConditionChanceToPlay
c2e57e9b ContextualConditionChanceToPlayInstance
a2c49ab2 ContextualConditionCharacter
64317b59 ContextualConditionCharacterDistance
4fbaf8a6 ContextualConditionCharacterDistanceInstance
b6bb8f7f ContextualConditionCharacterFormName
b15faa3c ContextualConditionCharacterFormNameInstance
cc57eaa7 ContextualConditionCharacterHasCAC
146c551e ContextualConditionCharacterHasTimeRemainingForAnimation
a489eae9 ContextualConditionCharacterHasTimeRemainingForAnimationInstance
0b3ea6b8 ContextualConditionCharacterHealth
49473ae3 ContextualConditionCharacterHealthInstance
cad0c55f ContextualConditionCharacterInRangeForSyncedAnimation
7715371c ContextualConditionCharacterInRangeForSyncedAnimationInstance
89fed72d ContextualConditionCharacterInstance
607779d6 ContextualConditionCharacterIsCastingRecall
61868af1 ContextualConditionCharacterIsCastingRecallInstance
56adc560 ContextualConditionCharacterLevel
a2ccdd9b ContextualConditionCharacterLevelInstance
95a7d707 ContextualConditionCharacterMetadata
579a47d4 ContextualConditionCharacterMetadataInstance
defcc579 ContextualConditionCharacterName
ab2ac9c6 ContextualConditionCharacterNameInstance
83e85dfa ContextualConditionCharacterPlayingAnimation
72de6965 ContextualConditionCharacterPlayingAnimationInstance
03217ad4 ContextualConditionCharacterPlayingEmote
9e2a59ef ContextualConditionCharacterPlayingEmoteInstance
76c5ccd2 ContextualConditionCharacterRole
7830e54d ContextualConditionCharacterRoleInstance
c879644a ContextualConditionCharacterSkinID
c4f5be35 ContextualConditionCharacterSkinIDInstance
a19fcc9d ContextualConditionCharacterUnitTags
d49fceda ContextualConditionCharacterUnitTagsInstance
7186a071 ContextualConditionCustomTimer
94b1010e ContextualConditionCustomTimerInstance
75dee42d ContextualConditionEnemyDeathsNearby
48d754aa ContextualConditionEnemyDeathsNearbyInstance
3c38b91e ContextualConditionGameTimer
82fecee9 ContextualConditionGameTimerInstance
460b463e ContextualConditionGlobalObjectiveBountyFirstActivation
7be31ad6 ContextualConditionGlobalObjectiveBountyForTeam
68417dbd ContextualConditionGlobalObjectiveBountyState
54b157d7 ContextualConditionHasGold
64b0efe4 ContextualConditionHasGoldInstance
7e735954 ContextualConditionHasItemFromVOGroup
b3c9886f ContextualConditionHasItemFromVOGroupInstance
c6623d61 ContextualConditionIsAlly
27588d3e ContextualConditionIsAllyInstance
9daa0569 ContextualConditionIsSelf
ee7f84c8 ContextualConditionItemCanBePurchased
3dab2e73 ContextualConditionItemCanBePurchasedInstance
40bff419 ContextualConditionItemID
833dba66 ContextualConditionItemIDInstance
cd0f0f43 ContextualConditionItemPriceMinimum
42e9ca00 ContextualConditionItemPriceMinimumInstance
f4ec6a11 ContextualConditionItemPurchased
0d4201ae ContextualConditionItemPurchasedInstance
e438c142 ContextualConditionItemVOGroup
8e814a7d ContextualConditionItemVOGroupInstance
34ef2512 ContextualConditionKillCount
81ccad8d ContextualConditionKillCountInstance
cdabb917 ContextualConditionLastBoughtItem
2bb34f24 ContextualConditionLastBoughtItemInstance
098fc28e ContextualConditionMapID
ecb9c419 ContextualConditionMapIDInstance
c01571f0 ContextualConditionMapRegionName
16c91bab ContextualConditionMapRegionNameInstance
55fe878a ContextualConditionMarkerName
5faf30c1 ContextualConditionMoveDistance
ecf21d9e ContextualConditionMoveDistanceInstance
9ba5f53d ContextualConditionMultikillSize
676f237a ContextualConditionMultikillSizeInstance
fe363232 ContextualConditionNearbyChampionCount
625bdead ContextualConditionNearbyChampionCountInstance
41d6aca8 ContextualConditionNegation
81edfe53 ContextualConditionNegationInstance
ec78267e ContextualConditionNeutralCampId
a0dcfa06 ContextualConditionNeutralMinionCampIsAlive
ab93b9a1 ContextualConditionNeutralMinionCampIsAliveInstance
9d9f6036 ContextualConditionNeutralMinionCampName
ec676d51 ContextualConditionNeutralMinionCampNameInstance
0586282d ContextualConditionNeutralMinionMapSide
a3a318aa ContextualConditionNeutralMinionMapSideInstance
fde0ba72 ContextualConditionNumberOfCharactersNearTargetPos
d9baf9ed ContextualConditionNumberOfCharactersNearTargetPosInstance
7cea4c0f ContextualConditionObjectiveTakeByMyTeam
60775a8c ContextualConditionObjectiveTakeByMyTeamInstance
617d65d6 ContextualConditionOwnerTeamNetChampionKills
21ddf6f1 ContextualConditionOwnerTeamNetChampionKillsInstance
b0f62f8f ContextualConditionPreviousMapRegionName
b4a5fb60 ContextualConditionRuleCooldown
51d5d39b ContextualConditionRuleCooldownInstance
52a87194 ContextualConditionShopCloseCount
987759af ContextualConditionShopCloseCountInstance
72d98de2 ContextualConditionShopOpenCount
bfaf901d ContextualConditionShopOpenCountInstance
e685c910 ContextualConditionSituationHasRecentlyRun
7ac070ef ContextualConditionSpell
981dc099 ContextualConditionSpellBuffName
e2c5426c ContextualConditionSpellInstance
ea6abe3a ContextualConditionSpellIsReady
a3a836a5 ContextualConditionSpellIsReadyInstance
6f22e2ef ContextualConditionSpellLevel
1dc3f46c ContextualConditionSpellLevelInstance
605ed8ec ContextualConditionSpellName
be0fb697 ContextualConditionSpellNameInstance
347c2fe3 ContextualConditionSpellSlot
e15d65a0 ContextualConditionSpellSlotInstance
de5cceb3 ContextualConditionTeammateDeathsNearby
d466e6b0 ContextualConditionTeammateDeathsNearbyInstance
9dc2bd74 ContextualConditionTimeSinceStealthStateChange
f7a60f8f ContextualConditionTimeSinceStealthStateChangeInstance
808d1d32 ContextualConditionTurretPosition
7bc529ad ContextualConditionTurretPositionInstance
73d72ce0 ContextualConditionWinningTeam
22d0ac10 ContextualRule
f69b9acb ContextualRuleInstance
fc27a63e ContextualSituation
07894009 ContextualSituationInstance
2bd190dd ContinueBlock
ed45c0f6 Controllers
7a9a96ff CooldownEffectUiData
20664115 CooldownGemUiData
1ebf4049 CooldownMultiplierCalculationPart
89360966 CopyCustomTableBlock
d8bcf2a8 CountAttacksCheat
8776327e CounterDefinition
eabbe15f CreateCustomTableBlock
6fc7d31c CreateCustomTableBlockInstance
991a0436 CreateFunctionBlock
fe129151 CreateFunctionBlockInstance
b77c713d CreateNeutralCamp
acbd198d CrowdControlFilter
ee18633d CursorConfig
2d01517a CursorConfigInstance
0b2de797 CursorData
cde95875 CursorDataCaptureCooldownContext
82e29682 CursorDataCaptureCooldownContextInstance
873ccda4 CursorDataInstance
ef4e0fb1 CursorDataTeamContext
6ae9234e CursorDataTeamContextInstance
e9aa7c54 CurveTheDifferenceHeightSolver
3ee20b6f CurveTheDifferenceHeightSolverInstance
ebe4c19a CustomAbilitiesUiData
ffa8a9b4 CustomChampionKillStatStoneData
d35faccf CustomChampionKillStatStoneDataInstance
abceae9e CustomDamageStatStoneData
10edf469 CustomDamageStatStoneDataInstance
5d7e30f9 CustomNeutralCampSpawnBehavior
9af61a78 CustomReductionMultiplierCalculationPart
205255d6 CustomShaderDef
b060e6f1 CustomShaderDefInstance
1c63ed6d CustomTableContainsValueBlock
7ab152ea CustomTableContainsValueBlockInstance
9fd741ae CustomTableGet
d396c639 CustomTableGetInstance
aabb56b2 CustomTableSet
5c91132d CustomTableSetInstance
bd32d02a CustomTargeterDefinitions
bcc25715 CustomTargeterDefinitionsInstance
aa4c9e46 DamageShieldedLogic
fd12e0e3 DamageSkinLoadoutGridButtonData
cd3905c8 DamageSourceSettings
ab73cf73 DamageSourceSettingsInstance
e7cb7ccb DamageSourceTemplate
f9d15638 DamageSourceTemplateInstance
242fe438 DamageSpellDisplayData
099e777d DamageSpellTextureData
9c1ed8b9 DamageTypeMeter
0df0a069 DamageTypeMeterData
d5c6d005 DamageTypeRadialChart
ec41779d DamageUnitCheat
3cebd9da DamageUnitCheatInstance
2e548aaf DeathEventPriority
d09acba6 DeathRecapDamageOverview
7efae6c2 DeathRecapDamagerCondensedList
75e8f0c1 DeathRecapDamagerDetailedDisplayData
db36062d DeathRecapShowcase
340536c7 DeathRecapShowcasePips
061c3629 DeathRecapShowcaseSlotData
4e9d7735 DeathRecapShowcaseSlotKdaData
b2feedb2 DeathRecapShowcaseSlotMasteryData
45652c20 DeathRecapShowcaseSlotStatStoneData
72849ea5 DeathRecapViewController
1307c9ed DeathTimes
21243f6a DeathTimesInstance
99f97edc DeathTimesScalingPoint
6631b507 DeathTimesScalingPointInstance
940bd46d DebugPrintToChatBlock
4409fb8b DebugRenderFlags
b26e7d7d DecelToLocationMovement
136498ba DecelToLocationMovementInstance
dd591356 DecelToLocationMovementSpec
aa80b456 DefaultHeightSolver
8f5daa75 DefaultSplashedPerkStyle
af4f2882 DefaultSplashedPerkStyleInstance
c0cf7934 DefaultStatModPerkSet
6d8293ee DefaultVerticalFacing
d0ddfeb9 DefaultVisibilityInstance
0cb3c269 DefaultVisibilitySpec
d2c1ea2e Defaultvisibility
51afd9e4 DefenseModifierIcons
784c99cb DelayChildrenOnMovementCompleteSpec
6cadfdc9 DelayInputSourceBool
6f1365e4 DelayStart
14b1201a DelayedBoolMaterialDriver
432837bc DesignerEvent
c45b6745 Destroy
4a38de49 DestroyChildrenOnMovementComplete
1935fa16 DestroyChildrenOnMovementCompleteInstance
effd890a DestroyChildrenOnMovementCompleteSpec
cc1b8b67 DestroyCustomTableBlock
7fd79a34 DestroyCustomTableBlockInstance
35b6229f DestroyOnDistanceFromCaster
e357c116 DestroyOnExitMap
066b4e65 DestroyOnHit
c87c7232 DestroyOnHitInstance
1c48485e DestroyOnHitSpec
fb0dfd42 DestroyOnMovementComplete
5d42067d DestroyOnMovementCompleteInstance
124170c5 DestroyOnMovementCompleteSpec
eb259ae3 DetailedItemSlots
9ab37cd7 DialogPickChoice
516ca527 DirectValueGet
993b0561 DirectedTrackingElementViewController
df6dc76a Direction
1bfa3a9f DirectionAim
f892933d DisabledRegionData
f92a5095 DisplacementParametricUpdater
2cb7a6b5 DisplayBasicStatUiData
d232712d DisplayStatUiData
250bc9c6 DisplayStatsUiData
9143dd55 DistanceToPlayerMaterialFloatDriver
08c26f62 DistanceToPlayerMaterialFloatDriverInstance
ceaae805 DoDamage
a1c2c89f DoubleSidedTipStyle
0af2666c DragDirection
cd0d7450 DragonUITunables
03b1c66a DrawAreaList
42d144f5 DrawFx
cdb319f6 DrawablePositionLocator
b29e8d11 DrawablePositionLocatorInstance
266089da DropRateSlot
2d6bf1a2 DynamicMaterialDef
8dd0b9dd DynamicMaterialDefInstance
073f6a51 DynamicMaterialParameterDef
d8670eee DynamicMaterialParameterDefInstance
ef39fa85 DynamicMaterialStaticSwitch
85c12352 DynamicMaterialStaticSwitchInstance
4db865fc DynamicMaterialTextureSwapDef
26681a27 DynamicMaterialTextureSwapDefInstance
21d0c864 DynamicMaterialTextureSwapOption
3670e03f DynamicMaterialTextureSwapOptionInstance
48b49195 ESportLeagueEntry
9c1fb3a2 ESportLeagueEntryInstance
141100a5 ESportTeamEntry
39b1f572 ESportTeamEntryInstance
5f3e870a EVOSettings
565c95f5 EVOSettingsInstance
c27090c2 EffectAmmoElementData
093389fd EffectAmmoElementDataInstance
8161aa78 EffectAnimatedRotatingIconElementData
1f3b1ba3 EffectAnimatedRotatingIconElementDataInstance
720bb1aa EffectAnimationElementData
79e5e895 EffectAnimationElementDataInstance
9b78684f EffectArcFillElementData
2acab4cc EffectArcFillElementDataInstance
f395015b EffectCircleMaskCooldownElementData
de9ff948 EffectCircleMaskCooldownElementDataInstance
dcf3dbd2 EffectCircleMaskDesaturateElementData
6ab1d44d EffectCircleMaskDesaturateElementDataInstance
be3f7ef7 EffectCooldownElementData
b0095c04 EffectCooldownElementDataInstance
81990a5e EffectCooldownRadialElementData
29b93a29 EffectCooldownRadialElementDataInstance
8b5db0ed EffectCreationData
4f9ee6c6 EffectDesaturateElementData
22a71a61 EffectDesaturateElementDataInstance
d0d0b2bc EffectElement
a34b6ba4 EffectElementData
e74f5a7f EffectElementDataInstance
0d221f07 EffectFillPercentageElementData
67158fd4 EffectFillPercentageElementDataInstance
8066ac1f EffectGlowConstantElementData
ee4da73f EffectGlowElementData
5ee479fc EffectGlowElementDataInstance
0aa8555a EffectGlowingRotatingIconElementData
d77305c5 EffectGlowingRotatingIconElementDataInstance
acf7065b EffectInstancedElementData
091d9e48 EffectInstancedElementDataInstance
a7bcd5d8 EffectKeyFrame
5e46619e EffectLineElementData
50c90769 EffectLineElementDataInstance
f16343d4 EffectMaskElementData
a82317ef EffectRotatingIconElementData
