811c9dc5 
340ca71c 1
2037cf3b 2v2Cameo_Pyke_E_Stun_Mis
c3382fca 2v2Cameo_Pyke_E_Tar
0174909c 2v2Cameo_Pyke_E_beam
b8d315db 2v2Cameo_Pyke_E_cas_trail
67efd17e 2v2Cameo_Pyke_E_land
70a750ba 2v2Cameo_Pyke_E_land_tar
42e5f08e 2v2Cameo_Samira_P_Juggle_Mis
7f5e1c9a 2v2Cameo_Samira_P_Juggle_Tar
31a11f8f 2v2Cameo_Samira_P_Juggle_Tar_Child
e7458a37 2v2Cameo_Samira_P_Knockup
be135ff8 2v2Cameo_Samira_P_cas_trail
978115a5 2v2Cameo_Samira_R_After_Images
6927be51 2v2Cameo_Samira_R_Cas
3786430b 2v2Cameo_Samira_R_Range_Indicator
01478d9f 2v2Cameo_Samira_R_Tar
bee20fd0 2v2Cameo_Samira_R_Tracer_Flash
ab7cbc9b 2v2Cameo_Samira_R_mis
32e07461 2v2Cameo_Samira_Rose_Petal_Glow
44afdfda 2v2Cameo_Samira_Shell_child
9f363365 2v2Cameo_Samira_StyleUp
89d8e8ec 2v2Cameo_Samira_Style_A
8cd8eda5 2v2Cameo_Samira_Style_B
8bd8ec12 2v2Cameo_Samira_Style_C
86d8e433 2v2Cameo_Samira_Style_D
85d8e2a0 2v2Cameo_Samira_Style_E
88d8e759 2v2Cameo_Samira_Style_F
9bd90542 2v2Cameo_Samira_Style_S
16dcff2a 2v2Cameo_Samira_Ult_Ready
f6e75a8f 2v2Cameo_Shaco_BoxOverlay
13f6039c 2v2Cameo_Shaco_Q_poof
7d578bc3 2v2Cameo_Viego_P_SpiritShader
ec461848 2v2Cameo_Viego_P_SpiritShader_Enemy
669ba406 2v2Cameo_Viego_P_SpiritShader_inWorld_Enemy
74829e56 2v2Cameo_Viego_P_Tar
b30a6544 2v2Cameo_Viego_P_Timer
d08ed095 2v2GwenHeal_SorakaCopy
dfcff59a 2v2RingOfFire_BlankMis_SFX
d0add277 2v2_BuyPhasePurchaseReminderLock
def9aaca 2v2_BuyPhasePurchaseReminderLockBreak
360caa42 3
1fd867b9 3001
a3db761c 3011
30d4054e 3026
856fecaa 3026_Buff_Revive
b7c24a41 3026_Buff_Will_Revive
35d64bc4 3033
2fd64252 3039
a0cea570 3046
acd0f6eb 3050
9fca26af 3065
a2ca2b68 3068
9fcc6546 3071
9ecc63b3 3072
a3cc6b92 3075
adeccefb 3083
b3ecd86d 3085
b1ecd547 3087
a7ecc589 3089
b3ef1704 3091
b0ef124b 3094
afef10b8 3095
9ead00d1 3100
9cacfdab 3102
9fad0264 3107
95acf2a6 3109
98aab8c8 3110
9daac0a7 3115
9eaac23a 3116
91aaadc3 3119
09b22670 3121
0cb22b29 3122
94b77e6f 3142
93b77cdc 3143
90b77823 3146
13b474c5 3153
0fb46e79 3157
a1bc1014 3161
9dbc09c8 3165
9ab9c678 3172
95b9be99 3179
8d995e56 3181
8b971c99 3193
cbaf229c 3222
555ed2a9 3430
d5f87a91 3504
d1f87445 3508
65d27dc9 3742
98fe8e5b 3814
60c87203 3Cost
3710b88a 3Star
156febb8 3StarAoEDamage
829e6cec 3StarShieldValue
310ca263 4
d89e103d 4004
d79e0eaa 4005
ce9bc1e8 4010
0ee9886a 4401
0ce98544 4403
af0554ed 4628
ae05535a 4629
20023539 4637
1efff50f 4644
1dfff37c 4645
0692ef0e 4StarShotDamage
dd2627f2 4Tooltip
9ca62b7b 4starspell
300ca0d0 5
330ca589 6
e5265b9c 6333
8f0b673a 6609
80091106 6616
8006d26f 6664
1403e9d4 6672
1503eb67 6673
1303e841 6675
1003e388 6676
6675e394 6691_Stealth_Start
14f4e0dd 6693
0ef4d76b 6695
0ff4d8fe 6696
2a683ea4 6Tooltip
320ca3f6 7
3d0cb547 8
cfacb84a 8001
3cb1e10f 8020
3c0cb3b4 9
e11907d7 AABonusDamage
424a669a ACC
4724fc58 AD
65722d9c ADAPBase
9f055c91 ADAPIncrease
1d812230 ADAPPer
96ca059f ADAPPerCast
2db92738 ADAPRatio
66c6eaa6 ADAPReduction
cfaa2ad6 ADAmp
5119f0ff ADBonus
df962703 ADBoost
a3814259 ADBuff
118cd6b5 ADBurstRatio
6f82dfe9 ADCoefficient
e3e8469a ADContribution
44a32c79 ADDamage
295b5980 ADDamageCalc
302adbe0 ADDamagePerStack
a4d77c5e ADFromHealth
b4b1c79b ADGain
fe35e71a ADGained
882659c0 ADIncrease
1cc4af97 ADModified
fcfce396 ADMult
d3bc9e0c ADPerLegendary
8130678d ADPerRank
f1d43b01 ADPerStack
d9291863 ADPerStarLevel
f4ca52a8 ADPerTakedown
bc3d5e29 ADPercent
382d671b ADRatio
6965dfde ADRatioBonus
098cecc0 ADRatioFirstSlash
71cf0419 ADRatioForAOE
6a5c7033 ADRatioMax
80701a8d ADRatioMin
33726bbb ADRatioNormalCast
35d51666 ADRatioPerBullet
8b99d4d6 ADRatioPerSecond
ecb4e82f ADRatioPerTick
34708314 ADRatioSecondHit
27751691 ADRatioSpecialCast
02c8656b ADRatioTT
2a931d1a ADRatioTooltip
8126d356 ADRequiredTooltipOnly
03a43db6 ADScaleBaseDamage
a417b997 ADScaleDamage
e476601d ADScaling
94b55f9b ADThreshold
58b72918 ADToHPRatio
5eb5fde9 ADValue
6c64e7c4 AD_RATIO
08a84200 ADandAP
fe70e0f6 ADandAPPerTick
1485c2a2 ADandSP
04d8527c ADtoAD
cfa29649 AHCapstone
bf530545 AIRLOCK_MAT
6a3c25d9 ALIEN_MAT
1b25585c ALT
3ef0480f AMMORECHARGETIME
f9bc7f3e AOEADPercent
46386e5b AOEDamageADRatio
8e6d2390 AOEDamageModifier
22116b50 AOEPercentAD
5b251bd4 AP
b19c3b58 APAmount
5dced396 APAmt
6bac277d APBuff
8478a4c5 APDamage
a7cf607b APFromMana
b3b41896 APGained
437f32c2 APHealth
0b4335e4 APIncrease
4ab45fc2 APLost
2afd498b APMultiplier
ebcfdef4 APPerCast
b4a9e7a4 APPerGlory
5deb4eb2 APPerInterval
9b7d5a0d APPerManaRegen
6a7405a1 APPerRank
7643b463 APPerSecond
e75ed4cd APPerStack
b67a0be7 APPerStarLevel
9acc0e52 APPerTick
a68d353d APPercent
e30c799f APRatio
1aa38cea APRatio1
19a38b57 APRatio2
6fa35a21 APRatioActive
94fab772 APRatioCenter
0c6e5c66 APRatioFullDuration
a45e8ced APRatioOne
3a8db3cc APRatioPer100BonusHP
e8959012 APRatioPerFury
fac635ad APRatioPerMine
47b9abba APRatioPerSecond
ad23e4de APRatioPerStack
f328829b APRatioPerTick
6647ac35 APRatioSpecialCast
86bcfb2e APRatioTick
e78fad4a APRatioToPercentDamage
eaef1b9e APRatioTooltip
78ff5927 APRatioTwo
22c13cca APRequiredTooltipOnly
9e13239b APScaleDamage
927ebb75 APShield
1cef8117 APStackRatio
438db135 APToCritConversion
4babc991 APToPercentRatio
fa127f0d APValue
df6154bb APtoShieldRatio
8f061404 ARAM
8cfa2136 ARAMHealthPickup
52f10ff2 ARAMHealthPickup_AOE
41cd4d95 ARAMHealthPickup_Dawn
225706b3 ARAMHealthPickup_Night
9df3e612 ARAM_Hexgate_Base_ClosePortal
dbac4535 ARAM_Hexgate_Base_ClosePortal_Enemy
c67c3656 ARAM_Hexgate_Base_OpenLoop
306512d1 ARAM_Hexgate_Base_OpenLoop_Enemy
18e78de8 ARAM_Hexgate_Base_Outgoing_Arrow
7e314946 ARAM_Hexgate_Base_Portal
db7a7d37 ARAM_Hexgate_Base_PortalGroundLoop
828fde16 ARAM_Hexgate_Base_PortalIncoming
c4797891 ARAM_Hexgate_Base_PortalIncoming_Enemy
f298a746 ARAM_Hexgate_Base_PortalOpen
9970e1c1 ARAM_Hexgate_Base_PortalOpen_Enemy
a37109c0 ARAM_Hexgate_Base_PortalOutgoing
29f79193 ARAM_Hexgate_Base_PortalOutgoing_Enemy
4b40a76d ARAM_Hexgate_Base_Timer_Ring_10s
daa4a38c ARAM_Hexgate_Channel_Ally
f63b3b1d ARAM_Hexgate_Channel_Complete_Incoming_Ally
a17c5629 ARAM_Hexgate_Channel_Complete_Incoming_Enemy
536b1587 ARAM_Hexgate_Channel_Complete_Outgoing_Ally
fc9f2eab ARAM_Hexgate_Channel_Complete_Outgoing_Enemy
ba3d9ac2 ARAM_Hexgate_Channel_Enemy
b9823ea3 ARAM_Hexgate_Exit_Base_ClosePortal
73b47e59 ARAM_Hexgate_Exit_Base_Incoming_Arrow
a2999469 ARAM_Hexgate_Exit_Base_OpenLoop
22e976ee ARAM_Hexgate_Exit_Base_OpenLoop_Enemy
087499ed ARAM_Hexgate_Exit_Base_Portal
1bd29dd1 ARAM_Hexgate_Exit_Base_PortalIncoming
e0b7a4d6 ARAM_Hexgate_Exit_Base_PortalIncoming_Enemy
f23deaf1 ARAM_Hexgate_Exit_Base_PortalOpen
9a054cb6 ARAM_Hexgate_Exit_Base_PortalOpen_Enemy
d08b6763 ARAM_Hexgate_Exit_Base_PortalOutgoing
d6a3daa8 ARAM_Hexgate_Exit_Base_PortalOutgoing_Enemy
57f68ae7 ARAM_Hexgate_Indicator_Beam
c2552e74 ARAM_Hexgate_Mis_Ally
0931ac1a ARAM_Hexgate_Mis_Enemy
3fe850f3 ARAM_Hexgate_Timer_Ring_10s
48d7412a ARAM_Hexgate_Unit_Destination_Ally
fc4c5160 ARAM_Hexgate_Unit_Destination_Enemy
6399c7f4 ARAM_InWallParticle
3682b115 AREA_Alcove_Bot
d78b0bc3 AREA_Alcove_Top
5402f1ac AREA_Base
732ccade AREA_Jungle_Bot
e1a1fde0 AREA_Jungle_Chaos_Inner
bdc94753 AREA_Jungle_Chaos_Outer
732a4b98 AREA_Jungle_Order_Inner
f856076b AREA_Jungle_Order_Outer
a577229c AREA_Jungle_Top
7dc64f89 AREA_Lane_Bot
b3852b06 AREA_Lane_Mid
d00f46a7 AREA_Lane_Top
0fc3c566 AREA_Platform
2f298b0f AREA_River_Bot
862123c9 AREA_River_Top
9b545fe6 ARMOR_REDUCTION
b9066ca6 ARMRMaxScaling
9993af86 ARMRPerHitScaling
72be5e09 ARRatio
8d1ff293 ARReductionAmount
a5d9189b ARSR
5e25208d AS
f07287f4 AS1
f3728cad AS2
f2728b1a AS3
ed72833b AS4
39e7e1ad ASAmt
000f6884 ASBoost
dbe35112 ASBoostMax
c5cfa6b8 ASBoostMin
2a35bd2d ASBoostPercent
a9ab7c37 ASBoostRanged
f64fe0b4 ASBuff
159f78f0 ASCENSION
6e424bac ASCalc
fb0d5533 ASCap
e537be7a ASCoeff
da2cc645 ASDuration
fe9405b3 ASMelee
57b13c7a ASMeleeMaxTOOLTIP
81727870 ASMeleeMinTOOLTIP
04d91fc1 ASModDamageToDeal
30e07458 ASModdedMS
96a33e3a ASModified
db64e797 ASMult
92b5a83e ASMultiplier
be2843da ASOnDeath
041599d9 ASPctPerNumCinders
8a0fcf3d ASPerHS
99b089f2 ASPerRank
43afcd64 ASPerStack
fd912bff ASPerThreshold
fab7c982 ASPercent
a1f7d79a ASRanged
99bcde37 ASRangedMaxTOOLTIP
41fd2cb5 ASRangedMinTOOLTIP
adb7481c ASRatio
54fa19c9 ASReductionPct
f6e337bc ASSASSINATE
c2d61920 ASSlow
1c2f749d ASTotalDuration
0db4a671 ASky
7288b382 AStoADChampion
9ddc7207 AStoADMinion
21a92b76 AStoAPChampion
7b757b03 AStoAPMinion
b9284eb5 ATTACK_SPEED_BONUS
c1e2c320 A_Attack1
e2a8e9cf A_Attack1_to_Idle
6984e1b5 A_Attack1_to_Run1
6684dcfc A_Attack1_to_Run2
c4e2c7d9 A_Attack2
9a77147a A_Attack2_to_Idle
7a6cd17f A_Idle_In
ffda2e55 A_Run_Fast
d0217b7d A_Run_Homeguard
d911fe6c A_Spell1_Activate
929d3d69 A_Spell1_Attack1_-90
a294f384 A_Spell1_Attack1_180
b161fbfc A_Spell1_Attack1_90
f932b2df A_Spell1_Attack1_Fast
0cab95bc A_Spell1_Attack2_-90
007ca7a1 A_Spell1_Attack2_180
6b07fdab A_Spell1_Attack2_90
7d589e47 A_Spell1_Idle
68afeba7 A_Spell1_Idle_In
a87edc9e A_Spell1_Run
40ad62e0 A_Spell1_Run_In
d04c86cd A_Spell2
08622d66 A_Spell2_to_Idle
d7977f39 A_Spell2_to_Run
ec42f152 A_Tentacle1
e842eb06 A_Tentacle5
f542ff7d A_Tentacle8
b4e9f9e4 Aatrox_AA_Crit_Hit_Tar
f90433dd Aatrox_AA_Crit_Trail
c705f0cc Aatrox_AA_Trail_01
ca05f585 Aatrox_AA_Trail_02
c905f3f2 Aatrox_AA_Trail_03
28877e44 Aatrox_Dance_Ground
3cdd0eb4 Aatrox_Death_ambers
ad8bf4af Aatrox_E_Active_buff
5d147eae Aatrox_E_Buf_Sword
03860473 Aatrox_E_Dash
ccf8b253 Aatrox_E_Dash2
664a4598 Aatrox_E_Dash_trail
369dbc1d Aatrox_E_Heal
bbd86172 Aatrox_Mini_Wings_MAT
45f48a8b Aatrox_P_Activate
2e7dc551 Aatrox_P_Attack_trail
c98bf144 Aatrox_P_Debuff
cacdc6ab Aatrox_P_Hit_Tar
3f2a06b1 Aatrox_P_Ready
4c9f7541 Aatrox_Passive_Sheathe_Sword
b292aa68 Aatrox_Q_Hit_Tar
08387c6a Aatrox_Q_Indicator_01
7e3c2699 Aatrox_Q_Indicator_01_Ally
07387ad7 Aatrox_Q_Indicator_02
b6b89046 Aatrox_Q_Indicator_02_Ally
06387944 Aatrox_Q_Indicator_03
7aa2d4f3 Aatrox_Q_Indicator_03_Ally
01ab733b Aatrox_Q_Sweet_hit_tar
788a0735 Aatrox_Q_Trail_01
758a027c Aatrox_Q_Trail_02
768a040f Aatrox_Q_Trail_03
1d6dd313 Aatrox_Q_cas1
1e6dd4a6 Aatrox_Q_cas2
1f6dd639 Aatrox_Q_cas3
8999e5b2 Aatrox_Q_knockup_Hexagon_child
adf89a9a Aatrox_R_Attack_01
acf89907 Aatrox_R_Attack_02
b29a0406 Aatrox_R_Fear
245c169a Aatrox_R_Halo
79522de8 Aatrox_R_Revive_Diration_Sword
63912f5a Aatrox_R_Revive_Duration
c8826793 Aatrox_R_Revive_end
a08494ba Aatrox_R_SpeedBuff
4b2962bc Aatrox_Recall_Beam
390c324c Aatrox_Recall_Ground
fc4f958a Aatrox_Recall_Hand_glow
c4a1ed95 Aatrox_Recall_Weapon_glow
15c521b2 Aatrox_Skin02_Recall_Sword
11aaf84a Aatrox_Skin09_Idle_BannerGlow
9ac6b34e Aatrox_Skin09_Idle_BannerGlow_Top
a0900239 Aatrox_Skin09_R_Wings_Glow
511353f4 Aatrox_Skin09_Recall_Ground_Puffs
dce900aa Aatrox_Skin09_Recall_Statue_Shatter
389c2b2a Aatrox_Skin09_Recall_Trail_01
0284b9f8 Aatrox_Skin11_R_Halo
70d7247b Aatrox_Skin31_Idle_Hand_01
71d7260e Aatrox_Skin31_Idle_Hand_02
72d727a1 Aatrox_Skin31_Idle_Hand_03
d394362f Aatrox_Skin31_Idle_spark
9ed342b4 Aatrox_Skin31_Idle_spark01
c2b786eb Aatrox_Skin33_Death_Effect
145dd6b7 Aatrox_Skin33_E_Cast_InWater
85bae239 Aatrox_Skin33_E_Dash_Afterimage
dd208cc5 Aatrox_Skin33_E_Turbine_Burst_1
da20880c Aatrox_Skin33_E_Turbine_Burst_2
94ff971f Aatrox_Skin33_Emote_Dance_Ground
ec9c89b8 Aatrox_Skin33_Emote_Dance_Sword_Subwoofer
d5ee38dc Aatrox_Skin33_Emote_Homeguard_Jet_Engines
faa95351 Aatrox_Skin33_Emote_Homeguard_Jet_Engines_2
35e7ed87 Aatrox_Skin33_Emote_Joke_Arms_Fresnel
1f6d4a16 Aatrox_Skin33_Emote_Joke_Ground_Crack
d59b7980 Aatrox_Skin33_Emote_Joke_Ground_Dust_1
d89b7e39 Aatrox_Skin33_Emote_Joke_Ground_Dust_2
05545094 Aatrox_Skin33_Emote_Joke_Jet_Turbines_1
0854554d Aatrox_Skin33_Emote_Joke_Jet_Turbines_2
a1049bf1 Aatrox_Skin33_Emote_Joke_Shiny_Stars
ad0463f5 Aatrox_Skin33_Emote_Recall_BG
f7aac00a Aatrox_Skin33_Emote_Recall_Ctencil_Avatar
e7ec76e8 Aatrox_Skin33_Emote_Recall_Portal
68d483a8 Aatrox_Skin33_Emote_Recall_Sword_Ground_smash
47b6485b Aatrox_Skin33_Emote_Respawn_Portal
2baaed80 Aatrox_Skin33_Emote_Spotlight
9cf6cc96 Aatrox_Skin33_Emote_Taunt_Electricity
5e02c1e9 Aatrox_Skin33_Emote_Taunt_Ground_Smash
60ae91f5 Aatrox_Skin33_Emote_Taunt_Roar
80de6cd9 Aatrox_Skin33_Emote_Taunt_Sword_Trail
e6c6383a Aatrox_Skin33_Emote_Taunt_Wings_Swing
d74a257f Aatrox_Skin33_Idle_Banner_Turbines
9f5a6416 Aatrox_Skin33_Idle_Banner_Turbines_2
33b60e73 Aatrox_Skin33_Idle_Hand_Magic_Sphere
d2813e13 Aatrox_Skin33_Idle_Sword_Off
7e8bf5f9 Aatrox_Skin33_Idle_Sword_fresnel
13bcfc82 Aatrox_Skin33_P_Flame_Burst
649b421c Aatrox_Skin33_P_Ready_Sheathed
8d46d5f2 Aatrox_Skin33_Q_Cast3_InWater
ac970173 Aatrox_Skin33_Q_Cast_InWater
f58e0ca1 Aatrox_Skin33_Q_Indicator_01_Blue
d3da853c Aatrox_Skin33_Q_Indicator_02_Empowered
e4a7dd0b Aatrox_Skin33_Q_Indicator_03_Empowered
d0064a96 Aatrox_Skin33_Q_Sword_Turbines_Burst
fe9f492a Aatrox_Skin33_Q_Trail_01_Empowered
4ae067d7 Aatrox_Skin33_Q_Trail_02_Empowered
d0c8cf58 Aatrox_Skin33_Q_Trail_03_Empowered
3b0958b0 Aatrox_Skin33_Q_cas1_Empowered
ea3a0159 Aatrox_Skin33_Q_cas2_Empowered
c7a9e942 Aatrox_Skin33_Q_cas3_Empowered
318e0825 Aatrox_Skin33_R_CameraBoundVFX_Techno_Veins
641d663c Aatrox_Skin33_R_Cast_InWater
80592301 Aatrox_Skin33_R_Idle_Evil_electricity
c4ee6464 Aatrox_Skin33_R_Idle_Sword_Electricity
8278ddd1 Aatrox_Skin33_R_Waings_Trails
ed9a0693 Aatrox_Skin33_R_Wing_Glow
292c6e33 Aatrox_Skin33_Turbine_Ground_Dust
d9d70b31 Aatrox_Skin33_W_Claw_Swipe
0de490c4 Aatrox_Skin33_Z_Sheathe_beam
0fb3d0fd Aatrox_Taunt_Ground
d4169892 Aatrox_W_Beam_Tar
aeabc40a Aatrox_W_Beam_Tar_Break
94355808 Aatrox_W_Beam_Tar_Pull
be06f3a2 Aatrox_W_Cas
f792bbba Aatrox_W_Core
e3dc3792 Aatrox_W_Core_Area
a6431cec Aatrox_W_Core_End
62112686 Aatrox_W_Hand_glow_cas
b1b7bba2 Aatrox_W_Hit_Tar
005bf1ec Aatrox_W_mis
ad346194 Aatrox_Wings_MAT
b3e1a182 Aatrox_Z_DianaMaskGlow
a39f5d88 Aatrox_Z_EyeGlow
508e82b7 Aatrox_Z_FloorSlash
768419e6 Aatrox_Z_FloorSlashDirt
ea7c1b8b Aatrox_Z_IdleGlow
dded8951 Aatrox_Z_IdleSparkles
dc5332e8 Aatrox_Z_RecallBuff
81b96be7 Aatrox_Z_RecallHits
74fa6c30 Aatrox_Z_RecallMaskTrails
7b6af7bc AbilityDamage
19d392bb AbilityHasteMythicPassive
7f1304b2 AbilityPower
5516cb5e AbilityPowerAmount
2b7760d5 AbilityPowerBonus
534c4ace AbilityPowerGoldMax
7c408434 AbilityPowerMax
6a2b4d26 AbilityPowerMin
c08bc0df AbilityPowerPerGold
1e5e79f1 AbilityPowerRatio
24b342ef AbilityPowerToGrant
a593637d AbilityResourceThresholdIndicator_Moonlight
966831c0 AbilityScaleDamage
8fd0c909 AbilityTADRatio
8be259f9 Absorbed
6758f53c AccelerandoAHCurrent
1f6bc762 AccelerandoAHPerStack
a891cc55 Accessories
d28b5f4d AcidBall
c4642eff Action
230eacfb ActionMask
3f434070 Activate
d9547c40 ActivationDelay
ef1820ba ActivationDistance
d975992f Active
08786119 ActiveADRatio
0b31873d ActiveADToArmorRatio
ed717a95 ActiveAPRatio
682f991b ActiveAPToMRRatio
67b851b1 ActiveBADRatio
d928f29f ActiveBaseDamage
6721e4a1 ActiveBaseResists
1e8d73fe ActiveDamage
89361873 ActiveDamageThatCanCrit
cc1d21f3 ActiveExecutePercent
cb10fbc0 ActiveItemAHPerStack
b8eeaa42 ActiveMSBonus
43c1f5d7 ActiveMagicDamage
481ba086 ActiveMaxDamage
3ff396be ActiveMaxStacks
bf6d1ef8 ActiveMoveSpeedBonus
10364260 ActivePerStackAmp
767cf894 ActivePlant
0d5278a9 ActivePrimaryTargetHPRatio
804815f3 ActiveSplashHPRatio
f8c35e47 ActiveTotalExecuteDamage
001b87a2 Active_Fruit
c84577bb ActualBoomTooltip
2d3bdaf2 ActualCooldown
986561b6 ActualDamage
8298075e AdaptiveAD
969826da AdaptiveAP
6f039626 AdaptiveForce
0357dd33 AdaptiveForceCalc
14d5f8b0 AdditionalADRatio
7fd211f1 AdditionalAttacks
3be361c4 AdditionalBaseDamage
c208fb33 AdditionalBonus
9b62b1ba AdditionalBonusCalc
bf647962 AdditionalBonusDamage
a4948451 AdditionalChunkHealing
d1cbbb7d AdditionalCopies
026fdafd AdditionalDamage
43550802 AdditionalGold
da19ba33 AdditionalManaPercentage
a0dcaa4c AdditionalMovementSpeed
9738309b AdditionalSlowPercentAtMax
7956b39f AdditionalStunDurationOverTime
7a54fa42 AdditionalTargets
06a6a0a5 Additive
dc225a69 Additive_Buffbone
48198e2b Addturn
8ec1277e Adjust
b6517d0f Adult
8c9a056d AegisMagicResist
a49b71d9 AerocraftWVFX
23c6a259 AfterburnerTimeTooltip
f6f5fa8e Afterimage
908e2cdf AftershockAPRatio
fadb2e80 AftershockDamage
2cd62ab4 AftershockMinionMulti
3fb502ed Aggro
dd631e80 Aggro_Idle
a8dc92e3 AhriAbilityPowerBase
8a80c312 AhriAbilityPowerPer3Star
89271df1 Ahri_BA_cas_fingertips
5e9bec6f Ahri_BA_mis
52033543 Ahri_BA_tar
7128ce17 Ahri_Body_MAT
dc5a39d7 Ahri_Boots_HG_Avatar
20239a64 Ahri_Boots_Homeguard
49a30a12 Ahri_Death_01
8b2eae78 Ahri_EM_laugh_01
86793cbf Ahri_E_buf
fe3db783 Ahri_E_cas
be632239 Ahri_E_mis
9ef9fe3d Ahri_E_tar
ac8fb6d9 Ahri_Emote_Death_Orb
575db7b2 Ahri_Emote_Death_Orb_Dissipate
abb2e3a4 Ahri_Emote_Recall_Fox
0f82ff51 Ahri_Emote_Recall_Fox_Child
51960228 Ahri_Emote_Recall_Orb_Deform
79a8fb12 Ahri_Emote_Recall_Orb_Reform
51c0a9aa Ahri_Emote_Recall_Tails
6f014557 Ahri_Emote_Taunt_Hit
54aa3fd2 Ahri_HandGlow
1d05f47a Ahri_HandPixels
7e5d94f2 Ahri_I_Orb_mat
32f020e7 Ahri_I_Orb_mat_child
07958918 Ahri_I_tailDust
1b0bbcbf Ahri_Idle1
1f3436c7 Ahri_Orb
db30dfb9 Ahri_Orb_cas
5421f896 Ahri_P
c442a7b9 Ahri_P_Heal
643f88fd Ahri_P_Heal_champion
749f4268 Ahri_P_Heal_minion
96c64316 Ahri_P_Orb_champion
b8cf5144 Ahri_P_SoulCrusher_buf_01
3a2b57f6 Ahri_P_mis
e437e482 Ahri_P_tar
fe554594 Ahri_P_tar_champion
5518f981 Ahri_P_tar_minion
3c7ee03f Ahri_Q_Cas
9d375197 Ahri_Q_Orb_Cast
0ae4bb15 Ahri_Q_Speed
41087c9d Ahri_Q_mis
9cdc6ff0 Ahri_Q_mis_02
364c5db1 Ahri_Q_tar
e3b92bd4 Ahri_Q_tar_02
cb2f43ef Ahri_R_BodyOverlay_01
bfaea253 Ahri_R_Eyes
b9f7c3be Ahri_R_Indicator_1
b8f7c22b Ahri_R_Indicator_2
b7f7c098 Ahri_R_Indicator_3
11373c32 Ahri_R_Mis_child01
e3f3975a Ahri_R_Ready_Aura
79ef0960 Ahri_R_Ready_tar
4b6eba64 Ahri_R_Tar
b6f7374c Ahri_R_TextureSwaps
e93cb957 Ahri_R_Tumblekick_tar_02
23610036 Ahri_R_cas
3ed79638 Ahri_R_mis
07b5b707 Ahri_R_mis_02
d8bfa33e Ahri_Recall_Arm_L01
bf0854bc Ahri_Recall_Arm_R01
a2c0b971 Ahri_Recall_Chest_01
5b5442ae Ahri_Recall_Heart_01
