e4460934 AFKDetection2
d31ccb9f AnimStateGraphEntryClip
42550484 AnimStateGraphEntryClips
1568581f AnimTimeSecs
8b7d190d AnimatedIcon
e58b5931 AnimatedIconLink
3091f36d AnimatedRotatingArrow
e145ee5d Animation
511ce9e2 AnimationDelaySecs
efd29e97 AnimationGDS
c5bb71b9 AnimationList
2f486792 AnimationOverrides
0b5ad48b AnimationPool
94efa6a0 AnimationThreshold
cf15f26a Animations
48ad481d AnnieLarge
cfa53701 AnnieSmall
c4b1c5aa AnnouncementData
1df05e4b Announcements
25e5198f AnnouncementsMapping
5af22504 AntiTrollPingAfterDeath
a5eee18a AnvilTypes
d33d8404 AnySubmesh
42ad0910 ApplyOnlyToAvatarMeshes
9dad91ce ArThresholdIndicator
909a63d3 ArcFillElements
6f4978f9 ArcRadius
c6e1d5c4 AreaCheckQuantifier
47d35afc AreasToCheck
65bba5e8 Arena
32263cf0 ArenaData
86a2faf6 ArenaDisplayNameTra
0f9e7be2 ArenaIconPath
e7d30d42 ArenaInfoPanel
086c829a ArenaIntroCutscene
a02b6be0 ArenaLocatorBlackboardName
41b7067d ArenaOwnerBlackboardName
b75de03c ArenaPositionLocatorName
18befb6c ArenaSkinIcon
3a249a4b ArenaSkinLoadoutGridButtonData
7f565eb6 ArenaSkinLoadoutItemListPanelData
fa965c94 ArenaTransformCutscene
5a439ba5 ArmLength
f84984d4 Armor
5f4887eb ArmorBorders
d5d36ff5 ArmorIcon
f3da4ee2 ArmorMax
b7bf62a1 ArmorPenetration
8eccbe27 ArmorThreshold
204f9e3c ArmorThresholds
bd9669f8 ArmorUpgrade
90c4c347 ArmorUpgradeGrowth
3132877e ArmoryActionButtons
edeac8bd ArmoryIconPath
2b0d70e8 ArmoryStyle
76a2558a ArmoryTimeoutVFX
edf2aef5 ArmoryUiOverride
a45aeb0a ArrowAnchorBase
4f02b933 ArrowIcon
a1499fc0 ArrowIcons
aea44051 Aspect
dcf2bbe3 AssassinItemsFilterButtonDefinition
81082e4b AssetBinName
7503462e AssetListId
b29567fa AssistDurationOverride
fddf21be Assisters
de748cc1 AssociatedChampions
f0021999 AssociatedCharacterName
02907c62 AssociatedPlayer
1a734ec3 AssociatedPlayers
a327f48b AssociatedTeams
9071fd36 AssociatedTraits
f7e7945a AssociatedVersions
346b8e71 AsyncLoading
8fc9b870 AsynchronousClientNetworking
989f1d2f AsynchronousNetworking
cb17b3cc Atlas
edea298e AttachOrientation
992b4e86 AttachToCamera
c352083e AttachToLocation
9e0f55aa AttachViaBone
9cce0d5a AttachedToBone
a5cb7c68 Attachment
cd79ab0b AttachmentName
e5644351 AttachmentOverrides
c360bba5 AttachmentSlots
0d1788bd AttackBlindIcon
1ee195a0 AttackItemsFilterButtonDefinition
439d079f AttackLossIcon
d02a667b AttackMoveTargetForgivenessRange
d1ca3bda AttackSpeedCatchup
e0613999 Audio
3b182105 AudioBankPaths
189600ee AudioBankUnits
7ea3e8d8 AudioEventName
1965c801 AudioFeature
f1695b8d AudioFlexValueParameterName
5cfe9324 AudioSource
76503b91 AudioType
e1ceee4c AugmentButton
85e383b4 AugmentColors
14df3d1e AugmentContainerIcon
2c15dfef AugmentContainerIconFrame
1560baec AugmentContainerName
d13c2d6e AugmentContainerTexture
5ac76772 AugmentDescription
0c4b6fb6 AugmentDisplayTagData
bc2c3f87 AugmentDisplayTagFrame
588a734a AugmentDisplayTagRow
26c61566 AugmentDisplayTagSpacer
e52e8845 AugmentDisplayTagText
c1716cff AugmentDisplayTags
28c7bec7 AugmentGridItem
2f403bdb AugmentGroup
bcce96da AugmentHoverVfx
74ea8609 AugmentIcon
2f1fc9f9 AugmentIconBackground
d86980d8 AugmentIconLarge
b812c692 AugmentIconMedium
8731b20e AugmentIcons
954bc86a AugmentIdleVfx
e496de6f AugmentItemData
f1f7e50d AugmentLargeIconPath
73f6b70e AugmentLayout
a1af8ca8 AugmentLevelTitle
e0f9184b AugmentLevelUpData
09dcaddb AugmentName
19ae3e16 AugmentNameId
6ce44f07 AugmentNotPickedVfx
f9021d56 AugmentPanelData
4839fda4 AugmentPickedVfx
827dc19e AugmentPlatformId
17086006 AugmentPool
d94aa383 AugmentRefreshOverlayVfx
5f1b3269 AugmentRefreshVfx
4e5e622e AugmentSelectionGrid
13187351 AugmentSkin
ee55616c AugmentSlotData
43a26ef5 AugmentSlots
45481fb5 AugmentSmallIconPath
10d5509e AugmentTitle
5a075a9b AugmentTooltipButton
366935fc AugmentTooltipTra
b43288f2 AugmentUiOverride
64788b9b AugmentedVfx
a6f8a5ac AutoActivateTimeBeforeSpawn
16c4336b AutoAttackSpellsUseSpellSource
f68eb447 AutoBuffActivateAttachBoneNames
7f5cd9e0 AutoBuffActivateEffects
3e3c2065 AutoItemPurchasingUsesNewRecData
29033d31 AutoOffset
c003e6a8 AutoOpenShopInPlanningPhaseDelaySecs
f91faa4f AutoSpellCast
62bb343b AutoSpellCastInfo
3fbcbe60 AvailableDefaultIcon
8a55be97 AvailableHoverIcon
3a42ca56 AvatarIconPath
6e39b04a AwayGoldMineSkinId
a8f48b28 AwayStatusIcon
6d2badf4 Axis
c93265ff AxisSpeed
52aecb41 BBScriptProfileDump
93c0f4f7 Backdrop
9840a232 BackdropFull
30c252ab BackdropLink
2aaa4453 BackdropLite
4babd89d Background
d67244d0 BackgroundAssets
cbd504c1 BackgroundCooldownEffect
d4202096 BackgroundDefault
98ad7c8f BackgroundElementMap
2a0d903e BackgroundFrame
e1ccfef5 BackgroundHover
6cebd5d8 BackgroundIcon
3ac7aa82 BackgroundImage
646cf661 BackgroundImagePath
63307781 BackgroundLink
d463462e BackgroundMissingTexture
fce8e78c BackgroundTexture
87696dab BackgroundTexturePath
b2e8a534 BackgroundTimingOffset
302ccf7d BackgroundTopCenter
0c26ddee BackgroundTopRight
dc47fab7 BackgroundVFX
0d867eaa Backgrounds
35648278 Badge
476d21ab BadgeBg
a1584d60 BadgeData
8a7308b3 BadgeDisplayProperty
b35faadf BadgeText
2ce97d34 BadgeVFX
1050e36a BalanceHeader
abcc11e8 BalanceValue
c6040c09 BankPaths
3a039f11 BankUnitList
dbc00b43 BannerBackground
6ff16584 BannerCurrency
4a705109 BannerCurrencyId
250cef17 BannerData
68377fdd BannerDurationSecs
bcdd8d75 BannerEntries
a08a6b31 BannerFlag
9f245e2f BannerNode
95e59d55 BannerSet
16085225 BannerTexturePath
90d74224 BannerTimer
44508cd7 BannerTrim
5a00548d BannerVfx
ced915ef BannerVfxEnableTime
f8a25fb4 Banners
83d47180 BarBackdrop
82a8b60e BarElementList
a2a39d73 BarElements
b16f7307 BarFill
fb0fa193 BarHitRegion
b4f0cbde BarHoveredState
bcc3158a BarTipElements
7475748d BarVfxGroup
3cd0d32e BaronGoldValue
e1c50cb2 BaronIcon
65d39c4f BaronScore
6b93eab0 BaronValue
a2621347 BarrackMinion
4fbc08a8 BarracksConfig
8f0c2ed6 BarracksLink
eac10e8a BaseBinName
a05cacaa BaseBinPath
0eaa2d9d BaseCost
ad6d25a8 BaseCounterAdvice
2d7fd821 BaseCounterAdviceSets
adf82603 BaseCurrency
84ff70c0 BaseData
919f97f9 BaseFriendsListScissorRegion
411dc52e BaseGold
4d823f17 BaseHoverGlow
72a0f669 BaseIcon
3f19432c BaseLoadable
8f4a2881 BaseMaterial
044fff45 BaseModel
bac6b669 BaseOutputIconModifier
2fa68f7a BaseScale
2d15f18c BaseSpellEffectiveness
d488fdc9 BasedOnMap
a5f62850 BasicAttackIconTextureName
ccc89809 BasicAugments
346a1164 BasicGroup
6849532d BasicHoverRegion
24e4cc78 BasicIcon
47acdd27 BasicLayout
1c351dfb BasicStatAmount
732aab4c BasicStatName
54432b65 BasicStatUi
38be1d74 BasicStats
f8aa00ca BatteryLevelIcons
d1d5634d BatteryLevels
4948cbcb BattleFury
493f0582 BattlepassButton
e3dc40d3 BattlepassButtonDefinition
f4a16502 BattlepassRewards
cfd1aa4a BattlepassScene
59a22832 BattlepassSpacer
d4c3bc70 BattlepassToastView
a1bef65d BaublesSpell
f2505841 BbConvertedBlockSoon
acd3ddc1 BbGetModifiedCooldownConverted
a3820b10 BbNewBlockOnly
a2ed28e0 BeginPatchingButton
3ba01201 BeginPatchingButtonDefinition
cfe9be27 Behavior
5eac2a00 BehaviorScript
9f6b2d9c BehaviorScriptContainers
99cd3c48 BehaviorScriptList
f4bee44a BehaviorSets
44c48f24 BehaviorsData
90afd4cd Berserk
85f19f5c BerserkTargetingParameters
5e6b3b22 BerserkTargetingParametersMap
c9082b0c BerserkTargetingParametersPriorityList
062eab0b BetweenGroupSpacing
21933119 BezierMaxSize
ba467ec4 Bias
e4f5bdce BillionAbbreviationTraKey
9252cbd2 BindFlexToOwnerPar
b0afcae5 BindLocation
a5d2169c BitField
091fa8ec BitIndex
ef27cfa4 BlackboardAssociatedPlayers
2b0d6b09 BlackboardCameraBone
e9a603a8 BlackboardEffectSource
29dc93a8 BlackboardExtraPlayerName
98defecd BlackboardFinisherSource
dce57aa1 BlackboardFinisherTarget
c3d099d5 BlackboardFovBone
a4165ca5 BlackboardGameObject
a9a420c6 BlackboardGameObjectName
ebd01b52 BlackboardGameObjectOriginal
591c11bb BlackboardGameObjectProxy
cebe5a27 BlackboardName
e6e98d24 BlackboardOffsetPosition
e7d0a706 BlackboardOrientation
ee447e96 BlackboardPlayers
31e70c2f BlackboardPosition
4d3d18ca BlackboardTargetObject
ed53a3fb BlackboardTransformName
ad2d5ae5 BlackboardVfxSource
6058471f BlackboardWorldTransformName
6d3315f3 BlendDistance
999ec9a6 BlendInTime
8d1a7a7d BlendOutTime
a2734825 Blinded
98ba36f3 BlockInputEvents
44b4862a BlockPlayerIcon
c967b34f Bloodwell
8c678ff0 BlueSkin
25834918 BlueTeamElementSelectedColor
df925021 BlueTeamElementUnselectedColor
a97179ac BlurKernelSigma
176d4d09 BlurQuality
666abee0 BlurTextures
8d30a918 BoardCountContribution
75fbcb48 BoardPosition
d5fb8330 BodyDefinition
3de41360 BodyIcon
87f1c91c BodyKey
0295b143 BodyScrollSceneViewPane
b568ab4e BodyText
89590d18 BodyTextHandle
d2af59ed BodyTraKey
a458b855 BonusOutputIconModifier
a18027e5 BonusSkin
77def630 BonusTrait
624ce5b5 BonusVotesForJungler
c1948a38 Book
0e4fb927 BoolDriver
94911120 BoolSource
a9d4b6e8 BoomFxTable
29a7efc6 BoomLifeTimeSec
15db0d85 BoomMapParticleName
e1f94e91 BootsPanelDefinition
2e373003 BootsQuickBuyData
29f1f29f BorderAugments
b666bd80 BorderDefault
832a4da7 BorderDisabled
77af310c BorderEnabled
d8655cd7 BorderLevelFive
b2c6f4d3 BorderLevelFour
e545ad45 BorderLevelOne
1da78635 BorderLevelSix
87c8bd65 BorderLevelThree
ba07502f BorderLevelTwo
4d4108e1 BorderMythic
e7b947a0 BorderPath
3e37c63b BorderRingElement
074403d5 BorderScene
c00a5c96 BorderSelected
adfac771 BorderTreatment
9265210c Borders
4048c61e BotData
03a75fcf BotSkillData
925b23cb BotSpell1
5230cada BottomBlackBar
f12be813 BottomButtons
f21efab0 BottomHrMomentumPost
e2e4f9c2 BottomHrYPostAdjustment
bb9129ab BottomHrYPreAdjustment
d1c4c0d3 BottomPadding
6783811a BottomScene
47bdbbe9 BottomYPaddingAdjustment
c916a9fc BounceLightFalloffDistance
c7878a1b BounceRadius
4c289d35 BoundingRegion
3d56aa08 Bounds
56d8c006 BountyData
0f9b5ab3 BountyIcon
214b4895 BountyText
6e304492 BreakpointAmount
5855caa8 BriefText
0e1a23ca BriefTextBackdrop
34d0622a Brightness
054c178e BrightnessMod
4a2aa0cc Buff
3f0d4c0f BuffAddType
93e6b3ec BuffAttribute
c71b8992 BuffDisplay
62580dd4 BuffDisplayTemplate
b8c35392 BuffEffects
5876d022 BuffLayout
209cf85d BuffModifier
77f746e5 BuffOverrides
c2488500 BuffScriptPath
d572b84d BuffTimer
a10ad504 BuffType
a4b26c65 BufferRegionElement
e94ae473 BufferScale
8cbd6cae BufferedInputData
5fd8c182 BuildTreeDisplayRegionDefinition
2ac59a87 BuildTreeIconDefinition
7ba0c753 BuildTreeTopIconScale
7f6c17a6 BuildVersionText
c43cfe31 BuildVersionTextFooter
6e43f0a2 BuildingBlocksDontLookToPTP
8d11c272 Buildings
185361a8 BuildsIntoDroplistBackdropDefinition
1666aaf3 BuildsIntoDroplistItemHoverDefinition
8fb4c5d5 BuildsIntoDroplistScene
464daf3a BuildsIntoIconDefinition
616b3a84 BuildsIntoOverflowButton
3d8e74c7 BuildsIntoSlotDefinition
7df5b85f BuildsIntoTextOverflowScale
5c042946 BuildupMapParticleNames
33029197 BundleIconPath
5dedab86 BundleItemFrameHoverIcon
70e33256 BundleItemFrameIcon
5893e64c BundleItemFrameUnpurchasable
456ae8d3 BundleItemIcon
b213e947 BundleItemListRegionDefinition
d05802ad BundleItemMoreTag
2435e125 BundleItemMoreTagHover
75ef6ce0 BundleItemMoreText
11bbbba9 BundleItemPrimaryIcon
af6f020c BundleItemPurchaseButtonDefinition
fb061739 BundleItemSecondaryIcon
d6f8b1fa BundlePostfixTraKey
fc53db08 BundleStackPrimaryText
9057e20c BundleStackSecondaryText
5a9e9148 BundleStackText
273204b8 BunnyElementOffStates
3e4e47c6 BunnyElementOnStates
fa660ed6 BunnyElements
cd8fd944 BurstFadeMeter
9d41b7c6 BurstFadeMeterOther
944586d6 BurstFadeMeterSelf
ea2e3332 BurstHealMeterAlly
050c0698 BurstHealMeterEnemy
35cff176 BurstHealMeterSelf
6081c408 BurstHealMeterSelfColorblind
43b27471 Button
a4eddce1 Button1Definition
7ef45c5c Button2Definition
346d1a88 ButtonArea
c1d56577 ButtonClickedIcon
0e96d7ef ButtonDefaultIcon
0121d849 ButtonDefaultText
9fe3315c ButtonDisabledIcon
49077fe4 ButtonEasingData
dff003b3 ButtonElement
d76032fc ButtonFxIn
311174c8 ButtonFxOutSelected
69200377 ButtonFxOutUnselected
cba216c4 ButtonHoverIcon
5b66960a ButtonHoverText
05d831fc ButtonIcon
c256041d ButtonIcons
38a0d88c ButtonIdleGlowFx
76207902 ButtonIdleSheenFx
749ed52b ButtonLayout
9a40c29c ButtonNext
37e4f17e ButtonPostFxIn
df1ebde2 ButtonPressedText
b832d57c ButtonPrev
ab91ba1f ButtonScene
496a4392 ButtonStyle
7348db33 ButtonStyles
b6b04242 ButtonText
256ea259 ButtonType
8958620d ButtonVerticalLayout
93ec9f26 Buttons
7d83e942 ButtonsRegion
4274d966 ButtonsScene
013bb8da BuyExpButton
92759f4a BuyExpButtonScene
6ce5ac3f BuyExpButtonTextHandle
f7d3bbbd BuyExpClickDefaultVfx
83ee348a BuyExpClickElement
d032c23a BuyExpCostTextHandle
08c3b367 BuyExpIconData
71f39f63 Bye
9abe42e5 ByeFx
c05227a8 ByeLabels
32b3b7d8 ByeTeamDisplayData
d8c2bcff CCScore
b3711c47 CHECK
55caed82 COMPLETE
0ae88c3b CallForHelpSpike
3c4ca1c2 CameoDisplayData
04d2dcb4 CameoList
141669d6 CameoPortraitIcon
dc2df35f CameoPortraitRegion
b186288e CameoTooltipAnchor
d65e723c CameraAnimation
6495fab8 CameraBone
d00dda71 CameraBoundsAsPercentageOfMapBounds
634c549e CameraControlsComboBoxDefinition
b587877d CameraLockButton
d9fb13de CameraMask
64fe3d2f CameraView
c32b088a CamoRingEffect
8b4aef98 CamoRingEffectOther
a9ef3654 Camp
91c65290 CampIndex
a0e8bf2a CampLevel
f135454f CampName
6463e656 CanBeMadeObsolete
a7ee6542 CanCompleteCastWithoutTarget
cbcf70b7 CanCritAllies
b1bda8e9 CanDespawn
5a1d6084 CanLoadLuaFromLooseFiles
a1e16032 CanSellDuringArmory
0592970c CanShareThemeMusic
08edc89c CanStompSelf
62e282aa CanTimeoutWhileCasting
91b3ecea CanTransitionMidPlay
1347d194 CancelButtonAdditionalIcons
87cf41fe CancelButtonDefinition
f0d0b6e3 CancelButtonIcons
0c8d5290 CancelHitRegion
9c1a0f62 CannonMinionLaneRotation
83172271 Canvas
32dd4bd4 CapBurstEmitters
e092a753 CardBackground
839b7f88 CardDefault
21487589 CardHoverMythic
7ae2c38b CardHoverMythicVfx
4b1c7874 CardHoverNonMythic
0b4cf0a8 CardHoverNonMythicVfx
f2b60494 CardRefreshMythicVfx
3002e1a9 CardRefreshNonMythicVfx
6771125d CardScene
0833fc1c CardSceneAnchor
aa98a764 CardSelectedMythic
e158e738 CardSelectedMythicVfx
482cc73f CardSelectedNonMythic
d122d71d CardSelectedNonMythicVfx
4be0e5d4 CardSwitcher
29ce6f56 CardTab
2b0b06fd CardTemplate
fd985966 Cases
882db0cc CastAllButtonDefinition
13388437 CastBar
453edffa CastLockoutTime
66257047 CastTime
27dba09a CasterCondition
175e6650 CasterForgivenessDefinitions
131a7dbd CastingBreaksStealth
1069f88c CatalogBackground
e966c494 CategoryColor
18abf042 CategoryText
176bef55 CategoryTextOnHoverOnly
245ee9c5 CcBehavior
108deea5 CcBehaviorData
45f61269 CcBehaviorLink
bbe2bd79 CelebrationCompanionBackgroundVfx
35baf77e CelebrationCompanionForegroundVfx
b3ff6da5 CelebrationEmote
7e281dc9 CelebrationEmoteIds
93b9d050 CelebrationTheme
9cb45f01 CelebrationTier2StarVfx
c9ea2200 CelebrationTier3StarVfx
96367645 CelebrationVignetteAssetVfx
8a86a07b CelebrationVignetteVfx
f18979da CenterActiveSourceIcon
12099849 CenterIconLink
e727f1b3 CenterJustifyStatusIconAndText
0a8a9c03 CenterKnownSourceIcon
ee917dad CenterOverrides
d563e1e9 CenterSlotIcon
1d33d52a CenterTitleLink
43a6ecf7 CenterTooltipRegion
7ed5b4a7 CeremonyDurationInSeconds
44659c77 ChallengeBorderCrystalsData
6e426029 ChallengeCrystalsData
014992bf ChallengeDesc
f6577f9c ChallengeLevel
08d3229d ChallengeName
7f9566b7 ChallengePlayerLevel
81999f36 ChallengePlayerLevelIcon
1ec120bb ChallengeTitleTooltipData
4e81b89b ChallengeTokenCapstoneIcon
3fdaf3f3 ChallengeTokenData
0128df22 ChallengeTokenGroup
6c638a80 ChallengeTokenHitRegion
bf9a001a ChallengeTokenIcon
b9882937 Challenges
3ed2e0c2 ChallengesTokenLayout
8fce1f0d ChampIconMinAlpha
d052e1c1 ChampIconNativeOffset
32e65008 ChampInspectVfx
e617a5ad ChampSpecificBar
b3f33cf8 ChampionButtonTemplate
0ce50672 ChampionComponents
63506244 ChampionGold
8e277b93 ChampionGoldText
562016e4 ChampionHoverEffectGlowMod
284c0453 ChampionIcon
1f7adcd7 ChampionIconLink
fe960cbb ChampionKills
395592c9 ChampionKillsUiData
4f0ab780 ChampionLayout
972cf46e ChampionListingData
e36bd611 ChampionNameHash
3e4882a9 ChampionNameLink
ebd9617e ChampionNameText
5c5d98c2 ChampionNames
008dc7d3 ChampionPortraitScene
de57b1e6 ChampionScene
f8ac8a0f ChampionSkinDataLink
f871dddc ChampionSlotUiData
d0db0663 ChampionSlots
a48e3ad9 ChampionSpells
d3f2229f ChampionTags
8301eb38 ChampionTemplate
3d4350d4 ChampionTierFrames
47bac313 ChampionsAreValid
4a4e8672 ChampionsPerRow
df6e9154 ChampionsViewPane
9292a6c1 Chance
cef2ba70 ChanceToNotExist
c9969515 ChanceWeight
08791be3 ChangeAnimationMidPlay
2ac71ccc ChannelDuration
be3da0e1 ChannelingEndAutoAttackReset
92b97241 ChaosDecaying
b8cd006a ChaosFilling
6eab4784 ChaosFrame
b1df2719 ChaosJunglePath
789d2ea5 ChaosObjectiveBountiesData
518f60ff ChaosScoreLineUiData
0ae6149e ChaosTeam
4feffe3e ChaosTeamData
a756b81c ChaosTeamIdentity
4ac09eef CharLevelIconKey
8b3aa710 Character
156a6d60 CharacterBannerSkinName
00243921 CharacterFadeInstance
8390f398 CharacterList
38022a93 CharacterName
ec182a7b CharacterNameOverride
26444773 CharacterOffset
ac971e62 CharacterPreloads
2c28acf8 CharacterQuestDefinitionsList
49b1d9ae CharacterQuestList
23ea1915 CharacterRecord
b6b01440 CharacterRole
afb07348 CharacterRoleData
5969040c CharacterRoleNameTra
35fa4ff0 CharacterRoleOverride
ca2fcc49 CharacterRoles
d85d7b5f CharacterSelectionUiPlaceholderIconPath
3ab433f2 CharacterSkinName
e501995f CharacterSplash
4b686f21 CharacterSplashEmblem
73c3e435 CharacterSplashSkinName
e784dd2f CharacterStateIndicatorMaxCount
bab0c3f7 CharacterStateIndicators
0f352e4c CharacterStatesMap
b227775c CharacterTierGroups
4508cb51 Charmed
fbd1795a ChaseContentVFX
41fdcbb7 ChaseTable
9c13b204 ChasingAttackRangePercent
0125a0ca ChatAnnouncementOnly
98aff484 ChatBlock
cc5a7955 ChatChannelOptionListBackdrop
5c9cd5ff ChatChannelOptionListHover
447a72a9 ChatComboBoxOptionDefaultColor
00338681 ChatComboBoxOptionHighlightedColor
15c46e91 ChatFrameBounds
066ca3cd ChatHudRestrictionText
5ebecd37 ChatHudText
d877025b ChatHudTextBackground
a9089978 ChatInputCenter
e2116e86 ChatInputIndicatorTooltips
83c44739 ChatMessageKey
b48abdd7 ChatMessageKeyFallback
3c759c9a ChatMuteButton
74701348 ChatTextEdit
ce0447f6 ChatVisibilityKey
2e89a529 CheatIconMap
4577ec44 CheatSet
06389b18 Checkbox
6e8692a2 CheckboxTemplate
7dc9adc9 ChestAssetMultiVfx
0f11b9fa ChestAssetSingleVfx
d4f40efa ChestBackgroundAssetVfx
212435a3 ChestBackgroundTimingOffset
ed51e4eb ChestTimingOffset
8afbdca6 ChildAnimDelaySwitchTime
8e5e6618 ChildClipName
67a9c9d2 Children
e35a50c8 ChoiceDescription
9df91392 ChosenBadge
2d4bd10e ChromaColor
f76d4989 ClaimCeremonyVfx
7b851bb1 ClaimReadyGroup
91e4c218 ClaimText
f2ba325d ClaimableDefaultIcon
57aeabca ClaimableHoverIcon
0e94ab4a ClaimableIcon
f4e85701 ClaimableVfx
1f569b4b ClaimedIcon
3346e0ab ClaimedRewardLayout
4c06b937 ClaimedRewardTemplate
a82efcbc Clamp
f6150a17 ClampTimeToAnimateCastTo0
c43e335a Clash
a320860b ClashFrame
dc4d5148 ClashFrameMirror
